City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
280,rong kwang,40,TH,1565140614,94,18.34,100.32,77.0,1.59
281,boende,0,CD,1565140615,92,-0.28,20.88,72.86,2.84
282,zalalovo,51,HU,1565140617,100,46.85,16.59,68.0,3.36
283,muros,90,ES,1565140618,93,42.77,-9.06,68.0,4.7
284,taitung,75,TW,1565140620,55,22.76,121.15,87.8,4.7
285,havre-saint-pierre,75,CA,1565140434,87,50.23,-63.6,60.8,6.93
286,ayna,0,ES,1565140623,14,38.55,-2.07,73.4,5.82
287,victoria,90,BN,1565140029,88,5.28,115.24,82.4,3.36
288,aswan,0,EG,1565140625,25,24.09,32.9,89.6,4.7
289,wanning,40,AT,1565140627,88,48.64,13.53,66.99,3.36
290,harper,1,US,1565140628,41,30.3,-99.24,93.2,9.17
291,alofi,75,NU,1565140629,73,-19.06,-169.92,77.0,14.99
292,gimli,83,CA,1565140630,61,50.63,-96.99,72.0,9.69
293,margate,40,AU,1565140632,67,-43.03,147.26,54.0,19.46
294,flinders,0,AU,1565140633,29,-34.58,150.85,66.0,10.29
295,komsomolskiy,50,RU,1565140112,89,67.55,63.78,54.02,13.71
296,haines junction,100,CA,1565140635,93,60.75,-137.51,54.74,3.2
297,avera,1,US,1565140637,74,33.19,-82.53,84.2,5.82
298,warri,98,NG,1565140638,88,5.52,5.75,76.08,6.91
299,fairbanks,90,US,1565140610,56,64.84,-147.72,68.0,10.29
300,chunskiy,0,RU,1565140641,64,56.08,99.63,64.11,5.39
301,santa rosalia,0,IT,1565140642,57,38.07,13.27,80.01,5.82
302,prince rupert,90,CA,1565140643,93,54.32,-130.32,57.2,6.93
303,kichera,0,RU,1565140644,45,55.93,110.1,64.46,2.17
304,orvault,0,FR,1565140646,100,47.27,-1.62,64.99,1.12
305,itaituba,53,BR,1565140647,83,-4.26,-55.99,76.01,1.57
306,solano,31,CO,1565140648,68,0.7,-75.25,72.03,1.25
307,mirnyy,0,RU,1565140651,94,56.57,36.46,48.74,5.61
308,nyimba,0,ZM,1565140653,42,-14.56,30.81,64.51,1.74
